player_id,full_name,position,GW,gameweek_points,value,avg_score_last_1,avg_score_last_3,ict_last_1,ict_last_3,avg_mins_last_1,avg_mins_last_3,xG_last_1,xG_last_3,xA_last_1,xA_last_3,clean_sheets_last_1,clean_sheets_last_3,fixture_difficulty,season
5,Rob Holding,DEF,24,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022-23
5,Rob Holding,DEF,28,2,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022-23
5,Rob Holding,DEF,29,2,42,2.0,0.6666666666666666,2.9,2.9,90.0,30.0,0.03,0.03,0.01,0.01,0.0,0.0,2,2022-23
5,Rob Holding,DEF,30,1,42,2.0,1.3333333333333333,2.3,5.199999999999999,90.0,60.0,0.0,0.03,0.01,0.02,0.0,0.0,4,2022-23
5,Rob Holding,DEF,31,1,42,1.0,1.6666666666666667,2.4,7.6,90.0,90.0,0.0,0.03,0.0,0.02,0.0,0.0,3,2022-23
5,Rob Holding,DEF,32,1,42,1.0,1.3333333333333333,4.3,9.0,90.0,90.0,0.06,0.06,0.01,0.02,0.0,0.0,2,2022-23
5,Rob Holding,DEF,33,6,42,1.0,1.0,1.6,8.3,90.0,90.0,0.07,0.13,0.02,0.03,0.0,0.0,5,2022-23
5,Rob Holding,DEF,34,1,42,6.0,2.6666666666666665,7.6,13.5,90.0,90.0,0.16,0.29,0.1,0.13,0.0,0.0,3,2022-23
6,Thomas Partey,MID,18,1,48,2.0,2.0,1.8,4.4,90.0,90.0,0.0497,0.0497,0.0836,0.1065,0.0,1.0,3,2022-23
6,Thomas Partey,MID,19,3,48,1.0,1.6666666666666667,4.7,9.1,73.0,84.33333333333333,0.1615,0.2112,0.02229,0.12879,0.0,1.0,3,2022-23
6,Thomas Partey,MID,20,3,48,3.0,2.0,5.4,11.900000000000002,90.0,84.33333333333333,0.0715,0.2827,0.03391,0.1397999999999999,1.0,1.0,4,2022-23
6,Thomas Partey,MID,21,2,48,3.0,2.3333333333333335,4.5,14.6,90.0,84.33333333333333,0.1152,0.3482,0.05211,0.1083099999999999,1.0,2.0,3,2022-23
