first_name,second_name,element_type,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,influence,creativity,threat,now_cost,ict_index,id,value,full_name
Trevoh,Chalobah,DEF,2,87,0,0,0,1,0,0,0,5.8,1.0,36.0,44,4.3,159,0.45454545454545453,Trevoh Chalobah
Naouirou,Ahamada,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,190,0.0,Naouirou Ahamada
Cheick,Doucouré,MID,6,91,0,1,0,1,0,0,0,17.6,5.9,6.0,49,2.9,193,1.2244897959183672,Cheick Doucouré
Chris,Richards,DEF,9,343,0,0,1,5,1,0,0,56.8,3.6,6.0,44,6.7,194,2.0454545454545454,Chris Richards
Chadi,Riad Dnanou,DEF,1,90,0,0,0,2,0,0,0,18.2,1.3,0.0,44,2.0,195,0.22727272727272727,Chadi Riad Dnanou
Nathaniel,Clyne,DEF,9,226,0,0,1,3,0,0,0,31.4,2.9,3.0,44,3.7,196,2.0454545454545454,Nathaniel Clyne
Malcolm,Ebiowei,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,197,0.0,Malcolm Ebiowei
Eberechi,Eze,MID,23,630,1,0,1,10,0,0,3,117.4,214.8,208.0,68,53.9,199,3.38235294117647,Eberechi Eze
Marc,Guéhi,DEF,21,630,1,0,1,10,1,0,2,224.0,37.7,37.0,44,30.0,200,4.7727272727272725,Marc Guéhi
Dean,Henderson,GK,21,630,0,0,1,10,1,0,2,177.6,0.0,4.0,45,18.1,201,4.666666666666667,Dean Henderson
Rob,Holding,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,44,0.0,202,0.0,Rob Holding
Will,Hughes,MID,4,233,0,0,0,4,3,0,0,25.0,19.6,24.0,49,6.7,203,0.8163265306122448,Will Hughes
Daichi,Kamada,MID,11,362,0,0,1,6,1,0,0,54.2,84.1,39.0,52,17.8,205,2.1153846153846154,Daichi Kamada
Jefferson,Lerma Solís,MID,7,303,0,0,1,4,2,0,0,31.4,43.6,12.0,48,8.8,206,1.458333333333333,Jefferson Lerma Solís
Jean-Philippe,Mateta,FWD,22,458,2,0,0,8,0,0,3,75.8,86.9,89.0,74,24.8,207,2.972972972972973,Jean-Philippe Mateta
Matheus,França de Oliveira,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,44,0.0,208,0.0,Matheus França de Oliveira
Remi,Matthews,GK,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,209,0.0,Remi Matthews
Tyrick,Mitchell,DEF,16,597,0,1,1,10,0,0,0,145.0,138.1,42.0,49,32.6,210,3.265306122448979,Tyrick Mitchell
Daniel,Muñoz,DEF,15,546,0,1,1,10,1,0,0,96.6,88.6,73.0,49,25.8,211,3.061224489795918,Daniel Muñoz
David,Ozoh,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,212,0.0,David Ozoh
Jesurun,Rak-Sakyi,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,213,0.0,Jesurun Rak-Sakyi
Jeffrey,Schlupp,MID,5,30,0,0,0,0,0,0,0,7.2,17.3,8.0,48,3.1,214,1.0416666666666665,Jeffrey Schlupp
Joel,Ward,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,44,0.0,215,0.0,Joel Ward
Adam,Wharton,MID,12,534,0,0,0,9,0,0,0,95.8,128.9,43.0,49,26.8,216,2.4489795918367343,Adam Wharton
Matt,Turner,GK,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,445,0.0,Matt Turner
Ismaïla,Sarr,MID,10,218,0,1,0,2,1,0,0,22.6,61.2,90.0,58,17.3,585,1.7241379310344827,Ismaïla Sarr
Franco,Umeh-Chibueze,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,644,0.0,Franco Umeh-Chibueze
Justin,Devenny,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,645,0.0,Justin Devenny
Asher,Agbinone,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,646,0.0,Asher Agbinone
Kaden,Rodney,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,647,0.0,Kaden Rodney
Maxence,Lacroix,DEF,12,360,0,1,1,5,1,0,0,89.0,37.0,15.0,45,14.1,650,2.6666666666666665,Maxence Lacroix
Caleb,Kporha,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,666,0.0,Caleb Kporha
Armando,Broja,FWD,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,54,0.0,156,0.0,Armando Broja
Abdoulaye,Doucouré,MID,11,395,0,0,1,9,0,0,0,39.8,54.5,17.0,52,11.1,217,2.1153846153846154,Abdoulaye Doucouré
Norberto Bercique,Gomes Betuncal,FWD,4,43,0,0,0,4,0,0,0,1.2,0.3,0.0,50,0.2,218,0.8,Norberto Bercique Gomes Betuncal
Jarrad,Branthwaite,DEF,2,90,0,0,0,1,0,0,0,19.2,0.8,0.0,48,2.0,219,0.41666666666666663,Jarrad Branthwaite
Dominic,Calvert-Lewin,FWD,27,593,2,1,1,11,1,0,3,111.0,34.3,202.0,60,34.6,220,4.5,Dominic Calvert-Lewin
Séamus,Coleman,DEF,1,90,0,0,0,3,0,0,0,16.6,1.1,21.0,43,3.9,221,0.23255813953488372,Séamus Coleman
Idrissa,Gueye,MID,10,373,0,0,0,12,0,0,0,46.4,11.3,33.0,49,9.0,222,2.0408163265306123,Idrissa Gueye
James,Garner,MID,7,251,0,0,1,4,1,0,0,54.0,20.9,5.0,50,7.9,223,1.4,James Garner
Jack,Harrison,MID,15,434,0,1,1,10,0,0,0,53.8,94.8,70.0,53,21.7,224,2.830188679245283,Jack Harrison
Mason,Holgate,DEF,1,5,0,0,0,1,0,0,0,0.0,0.0,0.0,40,0.0,225,0.25,Mason Holgate
Tim,Iroegbunam,MID,8,381,0,0,0,13,2,0,0,47.0,27.1,29.0,45,10.4,226,1.7777777777777777,Tim Iroegbunam
João,Neves Virgínia,GK,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,227,0.0,João Neves Virgínia
Michael,Keane,DEF,15,540,1,0,1,14,2,0,0,130.4,11.9,42.0,40,18.5,228,3.75,Michael Keane
Neal,Maupay,FWD,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,49,0.0,229,0.0,Neal Maupay
Dwight,McNeil,MID,41,622,3,2,1,15,1,0,6,208.8,359.7,109.0,56,67.8,230,7.321428571428571,Dwight McNeil
Vitalii,Mykolenko,DEF,5,385,0,0,0,11,0,0,0,54.2,33.5,7.0,43,9.5,231,1.1627906976744187,Vitalii Mykolenko
Iliman,Ndiaye,FWD,18,482,1,0,2,8,1,0,3,118.2,81.0,94.0,54,29.4,232,3.333333333333333,Iliman Ndiaye
Nathan,Patterson,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,44,0.0,234,0.0,Nathan Patterson
Jordan,Pickford,GK,25,630,0,0,1,15,1,0,3,182.8,0.1,0.0,48,18.2,235,5.208333333333332,Jordan Pickford
James,Tarkowski,DEF,14,630,0,0,1,15,1,0,2,155.0,33.9,56.0,48,24.6,236,2.916666666666666,James Tarkowski
Youssef,Ramalho Chermiti,FWD,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,49,0.0,237,0.0,Youssef Ramalho Chermiti
Ashley,Young,DEF,15,425,0,2,1,8,1,1,1,99.2,72.7,0.0,45,17.2,238,3.3333333333333335,Ashley Young
Jesper,Lindstrøm,MID,6,147,0,0,1,3,0,0,0,32.0,47.1,50.0,52,12.9,577,1.1538461538461537,Jesper Lindstrøm
Jake,O'Brien,DEF,0,26,0,0,0,1,1,0,0,4.0,0.4,0.0,47,0.4,582,0.0,Jake O'Brien
Harrison,Armstrong,MID,1,1,0,0,0,0,0,0,0,0.0,0.1,2.0,45,0.2,603,0.2222222222222222,Harrison Armstrong
Jenson,Metcalfe,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,614,0.0,Jenson Metcalfe
Asmir,Begovic,GK,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,624,0.0,Asmir Begovic
Roman,Dixon,DEF,0,90,0,0,0,4,0,0,0,15.4,0.3,0.0,40,1.6,627,0.0,Roman Dixon
Orel,Mangala,MID,6,254,0,0,0,3,0,0,0,26.8,17.9,8.0,50,5.3,651,1.2,Orel Mangala
Reiss,Nelson,MID,13,76,1,1,0,2,1,0,1,64.0,26.3,58.0,50,14.8,10,2.6,Reiss Nelson
Emile,Smith Rowe,MID,34,469,2,1,3,4,0,0,5,125.6,102.6,92.0,58,32.1,19,5.862068965517241,Emile Smith Rowe
Joachim,Andersen,DEF,13,450,0,0,1,7,1,0,2,124.8,18.6,33.0,44,17.7,191,2.954545454545454,Joachim Andersen
