element,name,position,GW,total_points,value,minutes,expected_goals,expected_assists,expected_goals_conceded,goals_scored,assists,goals_conceded,clean_sheets,ict_index,fixture,was_home,fixture_difficulty,avg_score_last_3,avg_mins_last_3,goals_last_3,assists_last_3,xG_last_3,xA_last_3,goals_conceded_last_3,avg_xGC_last_3,clean_sheets_last_3
9,Gabriel Martinelli Silva,MID,6,13,69,73,0.39,0.55,0.32,1,1,2,0,14.0,51,True,2,3.0,60.333333333333336,0.0,1.0,0.17,0.2,1.0,0.9133333333333334,1.0
9,Gabriel Martinelli Silva,MID,7,6,70,30,0.41,0.04,0.33,1,0,0,0,7.7,61,True,2,7.0,79.33333333333333,1.0,2.0,0.56,0.75,3.0,0.8033333333333333,1.0
9,Gabriel Martinelli Silva,MID,8,1,70,26,0.42,0.01,1.03,0,0,2,0,2.6,71,False,3,8.0,63.0,2.0,2.0,0.8,0.65,3.0,0.71,0.0
9,Gabriel Martinelli Silva,MID,9,2,70,84,0.06,0.39,0.85,0,0,2,0,3.9,81,True,5,6.666666666666667,43.0,2.0,1.0,1.22,0.6000000000000001,4.0,0.56,0.0
10,Reiss Nelson,MID,2,1,50,2,0.0,0.0,0.02,0,0,0,0,0.2,11,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Reiss Nelson,MID,3,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,25,False,2,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
10,Reiss Nelson,MID,4,0,50,24,0.08,0.01,0.33,0,0,1,0,3.7,35,True,2,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
10,Reiss Nelson,MID,5,7,50,16,0.31,0.05,0.3,1,0,0,0,7.1,44,True,3,0.3333333333333333,8.666666666666666,0.0,0.0,0.08,0.01,1.0,0.11666666666666668,0.0
10,Reiss Nelson,MID,6,1,50,21,0.02,0.01,0.16,0,0,0,0,0.8,59,False,2,2.3333333333333335,13.333333333333334,1.0,0.0,0.39,0.060000000000000005,1.0,0.21,0.0
10,Reiss Nelson,MID,7,4,50,13,0.0,0.17,0.23,0,1,1,0,3.0,69,False,5,2.6666666666666665,20.333333333333332,1.0,0.0,0.41000000000000003,0.07,1.0,0.26333333333333336,0.0
10,Reiss Nelson,MID,8,1,50,22,0.0,0.11,0.17,0,0,1,0,3.9,72,True,3,4.0,16.666666666666668,1.0,1.0,0.33,0.23,1.0,0.22999999999999998,0.0
10,Reiss Nelson,MID,9,1,50,22,0.0,0.04,0.45,0,0,1,0,2.6,87,False,2,2.0,18.666666666666668,0.0,1.0,0.02,0.29,2.0,0.18666666666666668,0.0
11,Eddie Nketiah,FWD,2,0,59,0,0.0,0.0,0.0,0,0,0,0,0.0,11,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Eddie Nketiah,FWD,3,0,59,0,0.0,0.0,0.0,0,0,0,0,0.0,23,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Eddie Nketiah,FWD,4,2,59,90,0.34,0.23,1.23,0,0,2,0,7.1,34,True,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Eddie Nketiah,FWD,5,2,59,65,0.15,0.01,1.63,0,0,0,1,1.9,43,True,3,0.6666666666666666,30.0,0.0,0.0,0.34,0.23,2.0,0.41,0.0
11,Eddie Nketiah,FWD,6,2,59,72,0.09,0.01,0.87,0,0,2,0,1.4,55,False,2,1.3333333333333333,51.666666666666664,0.0,0.0,0.49,0.24000000000000002,2.0,0.9533333333333333,1.0
11,Eddie Nketiah,FWD,7,1,59,90,0.07,0.01,1.4,0,0,1,0,1.4,66,True,5,2.0,75.66666666666667,0.0,0.0,0.5800000000000001,0.25,4.0,1.2433333333333334,1.0
11,Eddie Nketiah,FWD,8,2,59,65,0.25,0.06,1.35,0,0,1,0,10.5,77,False,2,1.6666666666666667,75.66666666666667,0.0,0.0,0.31,0.03,3.0,1.3,1.0
11,Eddie Nketiah,FWD,9,1,59,23,0.0,0.01,0.04,0,0,0,0,0.9,86,True,4,1.6666666666666667,75.66666666666667,0.0,0.0,0.41000000000000003,0.07999999999999999,4.0,1.2066666666666668,0.0
12,Ethan Nwaneri,MID,2,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,11,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Ethan Nwaneri,MID,3,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,21,True,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Ethan Nwaneri,MID,4,1,45,4,0.0,0.0,0.09,0,0,0,0,0.9,39,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Ethan Nwaneri,MID,5,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,47,False,5,0.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.03,0.0
12,Ethan Nwaneri,MID,6,1,45,5,0.02,0.16,0.0,0,0,0,0,3.2,51,True,2,0.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.03,0.0
12,Ethan Nwaneri,MID,7,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,61,True,2,0.6666666666666666,3.0,0.0,0.0,0.02,0.16,0.0,0.03,0.0
12,Ethan Nwaneri,MID,8,1,45,9,0.0,0.0,0.0,0,0,0,0,0.1,71,False,3,0.3333333333333333,1.6666666666666667,0.0,0.0,0.02,0.16,0.0,0.0,0.0
12,Ethan Nwaneri,MID,9,1,45,5,0.0,0.0,0.0,0,0,0,0,0.4,81,True,5,0.6666666666666666,4.666666666666667,0.0,0.0,0.02,0.16,0.0,0.0,0.0
13,Martin Ødegaard,MID,2,2,85,90,0.26,0.6,1.28,0,0,0,1,6.4,11,False,4,3.0,90.0,0.0,0.0,0.02,0.06,0.0,0.47,1.0
13,Martin Ødegaard,MID,3,2,84,73,0.18,0.08,1.18,0,0,1,0,5.2,21,True,2,2.5,90.0,0.0,0.0,0.28,0.6599999999999999,0.0,0.875,2.0
13,Martin Ødegaard,MID,4,0,83,0,0.0,0.0,0.0,0,0,0,0,0.0,39,False,4,2.3333333333333335,84.33333333333333,0.0,0.0,0.46,0.74,1.0,0.9766666666666666,2.0
13,Martin Ødegaard,MID,5,0,83,0,0.0,0.0,0.0,0,0,0,0,0.0,47,False,5,1.3333333333333333,54.333333333333336,0.0,0.0,0.44,0.6799999999999999,1.0,0.82,1.0
13,Martin Ødegaard,MID,6,0,82,0,0.0,0.0,0.0,0,0,0,0,0.0,51,True,2,0.6666666666666666,24.333333333333332,0.0,0.0,0.18,0.08000000000000011,1.0,0.3933333333333333,0.0
13,Martin Ødegaard,MID,7,0,82,0,0.0,0.0,0.0,0,0,0,0,0.0,61,True,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Martin Ødegaard,MID,8,0,82,0,0.0,0.0,0.0,0,0,0,0,0.0,71,False,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Martin Ødegaard,MID,9,0,82,0,0.0,0.0,0.0,0,0,0,0,0.0,81,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Aaron Ramsdale,GK,2,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,11,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Aaron Ramsdale,GK,3,2,44,90,0.0,0.0,2.78,0,0,3,0,2.8,22,False,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Aaron Ramsdale,GK,4,3,44,90,0.0,0.0,2.67,0,0,3,0,4.5,38,True,3,0.6666666666666666,30.0,0.0,0.0,0.0,0.0,3.0,0.9266666666666666,0.0
14,Aaron Ramsdale,GK,5,3,44,90,0.0,0.0,1.69,0,0,1,0,4.1,48,True,2,1.6666666666666667,60.0,0.0,0.0,0.0,0.0,6.0,1.8166666666666664,0.0
14,Aaron Ramsdale,GK,6,2,44,90,0.0,0.0,1.38,0,0,3,0,2.3,52,False,3,2.6666666666666665,90.0,0.0,0.0,0.0,0.0,7.0,2.38,0.0
14,Aaron Ramsdale,GK,7,2,44,90,0.0,0.01,2.83,0,0,3,0,2.4,61,False,5,2.6666666666666665,90.0,0.0,0.0,0.0,0.0,7.0,1.913333333333333,0.0
14,Aaron Ramsdale,GK,8,1,44,90,0.0,0.0,3.21,0,0,3,0,1.3,78,True,2,2.3333333333333335,90.0,0.0,0.0,0.0,0.01,7.0,1.9666666666666668,0.0
14,Aaron Ramsdale,GK,9,4,44,90,0.0,0.0,2.95,0,0,1,0,4.1,89,False,5,1.6666666666666667,90.0,0.0,0.0,0.0,0.01,9.0,2.473333333333333,0.0
15,David Raya Martin,GK,2,10,55,90,0.0,0.0,1.28,0,0,0,1,2.8,11,False,4,8.0,90.0,0.0,0.0,0.0,0.0,0.0,0.47,1.0
15,David Raya Martin,GK,3,2,55,90,0.0,0.01,1.83,0,0,1,0,3.4,21,True,2,9.0,90.0,0.0,0.0,0.0,0.0,0.0,0.875,2.0
15,David Raya Martin,GK,4,9,55,90,0.0,0.0,0.74,0,0,0,1,4.1,39,False,4,6.666666666666667,90.0,0.0,0.0,0.0,0.01,1.0,1.1933333333333334,2.0
15,David Raya Martin,GK,5,4,55,90,0.0,0.0,2.16,0,0,2,0,6.3,47,False,5,7.0,90.0,0.0,0.0,0.0,0.01,1.0,1.2833333333333334,2.0
15,David Raya Martin,GK,6,1,56,90,0.0,0.0,0.32,0,0,2,0,1.1,51,True,2,5.0,90.0,0.0,0.0,0.0,0.01,3.0,1.5766666666666669,1.0
15,David Raya Martin,GK,7,2,56,90,0.0,0.0,0.65,0,0,1,0,0.8,61,True,2,4.666666666666667,90.0,0.0,0.0,0.0,0.0,4.0,1.0733333333333335,1.0
15,David Raya Martin,GK,8,1,57,90,0.0,0.0,1.82,0,0,2,0,1.2,71,False,3,2.3333333333333335,90.0,0.0,0.0,0.0,0.0,5.0,1.0433333333333337,0.0
15,David Raya Martin,GK,9,0,57,90,0.0,0.0,0.85,0,0,2,0,2.0,81,True,5,1.3333333333333333,90.0,0.0,0.0,0.0,0.0,5.0,0.9300000000000002,0.0
16,Declan Rice,MID,2,2,65,90,0.07,0.11,1.28,0,0,0,1,5.2,11,False,4,3.0,84.0,0.0,0.0,0.09,0.05,0.0,0.32,1.0
16,Declan Rice,MID,3,-2,64,48,0.03,0.03,0.08,0,0,1,0,0.1,21,True,2,2.5,87.0,0.0,0.0,0.16,0.16,0.0,0.8,2.0
16,Declan Rice,MID,4,0,63,0,0.0,0.0,0.0,0,0,0,0,0.0,39,False,4,1.0,74.0,0.0,0.0,0.19,0.19,1.0,0.56,2.0
16,Declan Rice,MID,5,1,63,90,0.0,0.01,2.16,0,0,2,0,2.0,47,False,5,0.0,46.0,0.0,0.0,0.1,0.14,1.0,0.45333333333333337,1.0
16,Declan Rice,MID,6,2,63,90,0.06,0.22,0.32,0,0,2,0,6.6,51,True,2,-0.3333333333333333,46.0,0.0,0.0,0.03,0.04,3.0,0.7466666666666667,0.0
16,Declan Rice,MID,7,2,63,90,0.14,0.2,0.65,0,0,1,0,7.9,61,True,2,1.0,60.0,0.0,0.0,0.06,0.23,4.0,0.8266666666666667,0.0
16,Declan Rice,MID,8,2,63,90,0.0,0.15,1.82,0,0,2,0,6.1,71,False,3,1.6666666666666667,90.0,0.0,0.0,0.2,0.43000000000000005,5.0,1.0433333333333332,0.0
16,Declan Rice,MID,9,5,63,90,0.0,0.2,0.85,0,1,2,0,7.2,81,True,5,2.0,90.0,0.0,0.0,0.2,0.5700000000000001,5.0,0.93,0.0
17,Bukayo Saka,MID,2,6,100,87,0.05,0.1,1.25,0,1,0,1,8.2,11,False,4,12.0,79.0,1.0,1.0,0.35,0.37,0.0,0.32,1.0
17,Bukayo Saka,MID,3,6,101,90,0.95,0.2,1.83,0,1,1,0,14.4,21,True,2,9.0,83.0,1.0,2.0,0.39999999999999997,0.47,0.0,0.785,2.0
17,Bukayo Saka,MID,4,7,101,85,0.05,0.35,0.65,0,1,0,1,7.5,39,False,4,8.0,85.33333333333333,1.0,3.0,1.3499999999999999,0.67,1.0,1.1333333333333335,2.0
17,Bukayo Saka,MID,5,4,100,45,0.0,0.41,0.6,0,1,1,0,4.7,47,False,5,6.333333333333333,87.33333333333333,0.0,3.0,1.0499999999999998,0.65,1.0,1.2433333333333334,2.0
17,Bukayo Saka,MID,6,3,101,90,0.29,0.79,0.32,0,0,2,0,21.5,51,True,2,5.666666666666667,73.33333333333333,0.0,3.0,0.9999999999999999,0.96,2.0,1.0266666666666666,1.0
17,Bukayo Saka,MID,7,16,101,90,0.31,0.93,0.65,1,2,1,0,24.7,61,True,2,4.666666666666667,73.33333333333333,0.0,2.0,0.33999999999999986,1.5499999999999998,3.0,0.5233333333333333,1.0
17,Bukayo Saka,MID,8,0,101,0,0.0,0.0,0.0,0,0,0,0,0.0,71,False,3,7.666666666666667,75.0,1.0,3.0,0.5999999999999999,2.13,4.0,0.5233333333333333,0.0
17,Bukayo Saka,MID,9,9,100,84,0.23,0.01,0.85,1,0,2,0,5.9,81,True,5,6.333333333333333,60.0,1.0,2.0,0.5999999999999999,1.72,3.0,0.3233333333333333,0.0
18,William Saliba,DEF,2,6,60,90,0.0,0.01,1.28,0,0,0,1,2.5,11,False,4,6.0,90.0,0.0,0.0,0.0,0.0,0.0,0.47,1.0
18,William Saliba,DEF,3,2,60,90,0.0,0.01,1.83,0,0,1,0,2.3,21,True,2,6.0,90.0,0.0,0.0,0.0,0.01,0.0,0.875,2.0
18,William Saliba,DEF,4,5,60,90,0.0,0.01,0.74,0,0,0,1,1.1,39,False,4,4.666666666666667,90.0,0.0,0.0,0.0,0.02,1.0,1.1933333333333334,2.0
