element,name,position,GW,total_points,value,minutes,expected_goals,expected_assists,expected_goals_conceded,goals_scored,assists,goals_conceded,clean_sheets,ict_index,fixture,was_home,fixture_difficulty,avg_score_last_3,avg_mins_last_3,goals_last_3,assists_last_3,xG_last_3,xA_last_3,ict_last_3,goals_conceded_last_3,avg_xGC_last_3,clean_sheets_last_3,avg_score_last_1,avg_mins_last_1,goals_last_1,assists_last_1,xG_last_1,xA_last_1,ict_last_1,goals_conceded_last_1,avg_xGC_last_1,clean_sheets_last_1
592,Julián Araujo Zúñiga,DEF,6,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,52,True,2,1.0,53.333333333333336,0.0,0.0,0.0,0.02,2.5,6.0,1.2866666666666668,0.0,1.0,69.0,0.0,0.0,0.0,0.01,1.3,3.0,1.65,0.0
592,Julián Araujo Zúñiga,DEF,7,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,68,False,2,0.6666666666666666,28.0,0.0,0.0,0.0,0.01,1.4999999999999998,4.0,0.6566666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,Julián Araujo Zúñiga,DEF,8,1,45,45,0.0,0.01,0.22,0,0,0,0,0.9,71,True,5,0.3333333333333333,23.0,0.0,0.0,0.0,0.01,1.2999999999999998,3.0,0.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,Julián Araujo Zúñiga,DEF,9,0,44,29,0.0,0.0,0.67,0,0,0,0,0.1,82,False,4,0.3333333333333333,15.0,0.0,0.0,0.0,0.01,0.8999999999999998,0.0,0.07333333333333333,0.0,1.0,45.0,0.0,0.0,0.0,0.01,0.9,0.0,0.22,0.0
592,Julián Araujo Zúñiga,DEF,10,0,44,0,0.0,0.0,0.0,0,0,0,0,0.0,91,True,5,0.3333333333333333,24.666666666666668,0.0,0.0,0.0,0.01,0.9999999999999998,0.0,0.2966666666666667,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.1,0.0,0.67,0.0
593,Matthijs de Ligt,DEF,3,0,50,68,0.0,0.0,1.3,0,0,3,0,0.7,27,True,5,1.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.32999999999999996,0.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.0
593,Matthijs de Ligt,DEF,4,15,50,86,0.41,0.0,1.12,1,0,0,1,10.8,38,False,2,0.6666666666666666,29.333333333333332,0.0,0.0,0.0,0.0,1.7,4.0,0.6533333333333334,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.7,3.0,1.3,0.0
593,Matthijs de Ligt,DEF,5,6,50,90,0.54,0.0,1.01,0,0,0,1,12.1,43,False,2,5.333333333333333,55.0,1.0,0.0,0.41,0.0,12.5,4.0,1.0066666666666668,1.0,15.0,86.0,1.0,0.0,0.41,0.0,10.8,0.0,1.12,1.0
593,Matthijs de Ligt,DEF,6,1,50,90,0.17,0.01,4.59,0,0,3,0,2.7,57,True,4,7.0,81.33333333333333,1.0,0.0,0.95,0.0,23.6,3.0,1.1433333333333335,2.0,6.0,90.0,0.0,0.0,0.54,0.0,12.1,0.0,1.01,1.0
593,Matthijs de Ligt,DEF,7,1,50,45,0.0,0.0,0.26,0,0,0,0,1.5,62,False,4,7.333333333333333,88.66666666666667,1.0,0.0,1.1199999999999999,0.01,25.6,3.0,2.24,2.0,1.0,90.0,0.0,0.0,0.17,0.01,2.7,3.0,4.59,0.0
593,Matthijs de Ligt,DEF,8,2,50,90,0.0,0.01,0.86,0,0,1,0,3.7,75,True,2,2.6666666666666665,75.0,0.0,0.0,0.7100000000000001,0.01,16.3,3.0,1.9533333333333334,1.0,1.0,45.0,0.0,0.0,0.0,0.0,1.5,0.0,0.26,0.0
593,Matthijs de Ligt,DEF,9,0,50,90,0.0,0.01,2.98,0,0,2,0,0.7,90,False,2,1.3333333333333333,75.0,0.0,0.0,0.17,0.02,7.9,4.0,1.9033333333333335,0.0,2.0,90.0,0.0,0.0,0.0,0.01,3.7,1.0,0.86,0.0
593,Matthijs de Ligt,DEF,10,2,50,90,0.0,0.0,1.11,0,0,1,0,1.5,95,True,4,1.0,75.0,0.0,0.0,0.0,0.02,5.9,3.0,1.3666666666666671,0.0,0.0,90.0,0.0,0.0,0.0,0.01,0.7,2.0,2.98,0.0
594,Noussair Mazraoui,DEF,3,1,45,90,0.08,0.02,1.73,0,0,3,0,6.3,27,True,5,6.0,85.0,0.0,1.0,0.0,0.03,6.800000000000001,2.0,1.2349999999999999,1.0,4.0,90.0,0.0,1.0,0.0,0.02,5.2,2.0,2.09,0.0
594,Noussair Mazraoui,DEF,4,6,45,73,0.12,0.34,1.12,0,0,0,1,2.8,38,False,2,4.333333333333333,86.66666666666667,0.0,1.0,0.08,0.05,13.1,5.0,1.3999999999999997,1.0,1.0,90.0,0.0,0.0,0.08,0.02,6.3,3.0,1.73,0.0
594,Noussair Mazraoui,DEF,5,6,46,90,0.0,0.07,1.01,0,0,0,1,2.3,43,False,2,3.6666666666666665,84.33333333333333,0.0,1.0,0.2,0.38,14.3,5.0,1.6466666666666665,1.0,6.0,73.0,0.0,0.0,0.12,0.34,2.8,0.0,1.12,1.0
594,Noussair Mazraoui,DEF,6,0,46,90,0.0,0.01,4.59,0,0,3,0,2.0,57,True,4,4.333333333333333,84.33333333333333,0.0,0.0,0.2,0.43,11.399999999999999,3.0,1.2866666666666668,2.0,6.0,90.0,0.0,0.0,0.0,0.07,2.3,0.0,1.01,1.0
594,Noussair Mazraoui,DEF,7,1,46,45,0.0,0.0,0.15,0,0,0,0,1.1,62,False,4,4.0,84.33333333333333,0.0,0.0,0.12,0.42000000000000004,7.099999999999999,3.0,2.24,2.0,0.0,90.0,0.0,0.0,0.0,0.01,2.0,3.0,4.59,0.0
594,Noussair Mazraoui,DEF,8,1,46,1,0.0,0.0,0.13,0,0,0,0,0.4,75,True,2,2.3333333333333335,75.0,0.0,0.0,0.0,0.08,5.399999999999999,3.0,1.916666666666667,1.0,1.0,45.0,0.0,0.0,0.0,0.0,1.1,0.0,0.15,0.0
594,Noussair Mazraoui,DEF,9,2,46,83,0.0,0.2,2.01,0,0,1,0,3.5,90,False,2,0.6666666666666666,45.333333333333336,0.0,0.0,0.0,0.01,3.499999999999999,3.0,1.6233333333333337,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.13,0.0
594,Noussair Mazraoui,DEF,10,2,45,90,0.0,0.02,1.11,0,0,1,0,3.8,95,True,4,1.3333333333333333,43.0,0.0,0.0,0.0,0.2,4.999999999999999,1.0,0.7633333333333335,0.0,2.0,83.0,0.0,0.0,0.0,0.2,3.5,1.0,2.01,0.0
595,Brajan Gruda,MID,3,0,55,0,0.0,0.0,0.0,0,0,0,0,0.0,21,False,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,Brajan Gruda,MID,4,0,54,0,0.0,0.0,0.0,0,0,0,0,0.0,33,True,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,Brajan Gruda,MID,5,0,54,0,0.0,0.0,0.0,0,0,0,0,0.0,42,True,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,Brajan Gruda,MID,6,0,54,0,0.0,0.0,0.0,0,0,0,0,0.0,54,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,Brajan Gruda,MID,7,1,54,3,0.0,0.0,0.0,0,0,0,0,0.4,64,True,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,Brajan Gruda,MID,8,0,54,0,0.0,0.0,0.0,0,0,0,0,0.0,76,False,4,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
595,Brajan Gruda,MID,9,1,54,18,0.0,0.0,0.72,0,0,2,0,0.4,84,True,2,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,Brajan Gruda,MID,10,1,54,14,0.0,0.01,0.32,0,0,0,0,2.3,94,False,5,0.6666666666666666,7.0,0.0,0.0,0.0,0.0,0.8,2.0,0.24,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.4,2.0,0.72,0.0
596,João Pedro Ferreira Silva,MID,3,1,60,1,0.0,0.0,0.01,0,0,0,0,0.1,29,True,2,0.5,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
596,João Pedro Ferreira Silva,MID,4,1,60,9,0.0,0.03,0.09,0,0,0,0,1.9,36,False,5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0033333333333333335,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.01,0.0
596,João Pedro Ferreira Silva,MID,5,3,60,45,0.0,0.24,0.55,0,1,0,0,3.6,42,False,3,1.0,3.6666666666666665,0.0,0.0,0.0,0.03,2.2,0.0,0.03333333333333333,0.0,1.0,9.0,0.0,0.0,0.0,0.03,1.9,0.0,0.09,0.0
596,João Pedro Ferreira Silva,MID,6,1,59,33,0.14,0.04,0.19,0,0,0,0,2.3,59,True,2,1.6666666666666667,18.333333333333332,0.0,1.0,0.0,0.27,5.6,0.0,0.21666666666666667,0.0,3.0,45.0,0.0,1.0,0.0,0.24,3.6,0.0,0.55,0.0
596,João Pedro Ferreira Silva,MID,7,1,59,24,0.06,0.02,1.03,0,0,0,0,3.8,65,False,4,1.6666666666666667,29.0,0.0,1.0,0.14,0.31,7.8,0.0,0.27666666666666667,0.0,1.0,33.0,0.0,0.0,0.14,0.04,2.3,0.0,0.19,0.0
596,João Pedro Ferreira Silva,MID,8,1,59,27,0.0,0.0,0.28,0,0,0,0,1.4,77,True,2,1.6666666666666667,34.0,0.0,1.0,0.2,0.30000000000000004,9.7,0.0,0.59,0.0,1.0,24.0,0.0,0.0,0.06,0.02,3.8,0.0,1.03,0.0
596,João Pedro Ferreira Silva,MID,9,1,59,14,0.05,0.01,0.06,0,0,0,0,0.5,88,False,2,1.0,28.0,0.0,0.0,0.2,0.06,7.5,0.0,0.5000000000000001,0.0,1.0,27.0,0.0,0.0,0.0,0.0,1.4,0.0,0.28,0.0
