element,name,position,GW,total_points,value,minutes,expected_goals,expected_assists,expected_goals_conceded,goals_scored,assists,goals_conceded,clean_sheets,ict_index,fixture,was_home,fixture_difficulty
239,Jairo Riedewald,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,7,False,2
119,Yoane Wissa,FWD,1,9,60,71,0.24,0.05,1.02,1,0,2,0,11.6,8,True,3
578,Reiss Nelson,MID,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,2,True,2
394,Facundo Pellistri Rebollo,MID,1,1,45,13,0.24,0.0,0.82,0,0,0,0,0.8,10,True,2
69,James Hill,DEF,1,1,40,15,0.0,0.01,0.19,0,0,0,0,0.2,3,True,2
561,Bruno Cavaco Jordão,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,10,False,4
147,Kjell Scherpen,GK,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,4,True,2
363,Máximo Perrone,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,1,False,2
278,Aleksandar Mitrović,FWD,1,1,75,32,0.16,0.02,0.6,0,0,0,0,3.3,5,False,2
115,Kevin Schade,MID,1,1,55,18,0.27,0.0,0.24,0,0,0,0,0.4,8,True,3
457,Moussa Niakhaté,DEF,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,2,False,5
581,Paul Dummett,DEF,1,0,40,0,0.0,0.0,0.0,0,0,0,0,0.0,6,True,3
405,Sven Botman,DEF,1,5,45,90,0.07,0.25,1.9,0,1,1,0,5.5,6,True,3
271,Issa Diop,DEF,1,8,45,90,0.0,0.01,2.73,0,0,0,1,3.2,5,False,2
17,Aaron Ramsdale,GK,1,2,50,90,0.0,0.0,1.18,0,0,1,0,1.3,2,True,2
286,Tosin Adarabioyo,DEF,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,5,False,2
290,Trent Alexander-Arnold,DEF,1,1,80,90,0.0,0.02,1.28,0,0,1,0,2.3,9,False,3
184,Anass Zaroury,MID,1,-2,50,30,0.04,0.06,1.37,0,0,1,0,0.0,1,True,5
131,Pervis Estupiñán,DEF,1,7,50,90,0.11,0.86,1.45,0,1,1,0,16.0,4,True,2
